[0, 6, 3, 14, 10, 75, 5]
[0, 6, 3, 18, 5, 69, 4]
[0, 6, 3, 22, 0, 63, 5]
[0, 6, 6, 14, 10, 66, 2]
[0, 6, 6, 18, 5, 60, 5]
[0, 6, 6, 22, 10, 78, 2]
[0, 6, 6, 26, 5, 72, 5]
[0, 8, 0, 12, 20, 68, 4]
[0, 8, 0, 20, 20, 68, 4]
[0, 8, 3, 12, 25, 89, 5]
[0, 8, 3, 16, 20, 77, 3]
[0, 8, 3, 20, 15, 65, 5]
[0, 8, 3, 24, 10, 53, 3]
[0, 8, 3, 24, 20, 77, 3]
[0, 8, 6, 12, 20, 80, 4]
[0, 8, 6, 12, 30, 104, 4]
[0, 8, 6, 16, 15, 68, 5]
[0, 8, 6, 16, 25, 92, 5]
[0, 8, 6, 20, 10, 56, 4]
[0, 8, 6, 20, 20, 80, 4]
[0, 8, 6, 24, 5, 44, 5]
[0, 8, 6, 24, 15, 68, 5]
[0, 8, 6, 28, 10, 56, 4]
[0, 8, 6, 28, 20, 80, 4]
[0, 10, 0, 14, 30, 58, 2]
[0, 10, 0, 14, 40, 82, 2]
[0, 10, 0, 18, 25, 40, 5]
[0, 10, 0, 18, 35, 64, 5]
[0, 10, 0, 22, 40, 70, 2]
[0, 10, 3, 14, 30, 79, 5]
[0, 10, 3, 14, 40, 103, 5]
[0, 10, 3, 18, 25, 61, 4]
[0, 10, 3, 18, 35, 85, 4]
[0, 10, 3, 22, 20, 43, 5]
[0, 10, 3, 22, 30, 67, 5]
[0, 10, 3, 26, 35, 73, 4]
[0, 10, 6, 14, 20, 70, 2]
[0, 10, 6, 14, 30, 94, 2]
[0, 10, 6, 18, 15, 52, 5]
[0, 10, 6, 18, 25, 76, 5]
[0, 10, 6, 18, 35, 100, 5]
[0, 10, 6, 22, 10, 34, 2]
[0, 10, 6, 22, 20, 58, 2]
[0, 10, 6, 22, 30, 82, 2]
[0, 10, 6, 26, 15, 40, 5]
[0, 10, 6, 26, 25, 64, 5]
[0, 10, 6, 30, 30, 70, 2]
[0, 12, 0, 16, 45, 48, 5]
[0, 12, 0, 20, 60, 72, 4]
[0, 12, 3, 16, 30, 45, 3]
[0, 12, 3, 16, 40, 69, 3]
[0, 12, 3, 20, 35, 45, 5]
[0, 12, 3, 20, 45, 69, 5]
