[4, 8, 10, 8, 24, 68]
[2, 10, 2, 26, 17, 46]
[4, 8, 7, 8, 24, 77]
[3, 7, 9, 7, 13, 79]
[6, 8, 6, 8, 36, 68]
[3, 9, 3, 25, 33, 117]
[6, 8, 6, 24, 46, 56]
[2, 10, 2, 30, 32, 70]
[7, 7, 7, 15, 27, 103]
[7, 9, 10, 33, 7, 102]
[4, 10, 4, 34, 39, 94]
[4, 8, 4, 40, 34, 92]
[6, 10, 9, 34, 6, 91]
[6, 10, 6, 34, 41, 58]
[2, 8, 5, 48, 42, 53]
[4, 8, 10, 16, 44, 92]
[4, 10, 4, 22, 14, 82]
[5, 9, 5, 37, 5, 81]
[5, 9, 5, 17, 35, 81]
[4, 10, 10, 26, 19, 82]
[6, 6, 6, 22, 36, 54]
[2, 10, 2, 30, 22, 34]
[4, 10, 10, 22, 24, 94]
[5, 9, 5, 29, 15, 81]
[5, 9, 5, 13, 15, 81]
[4, 8, 10, 32, 24, 68]
[3, 9, 6, 17, 13, 102]
[2, 10, 2, 26, 27, 82]
[5, 7, 5, 11, 5, 49]
[4, 8, 4, 32, 14, 68]
[7, 7, 7, 31, 27, 79]
[4, 10, 7, 42, 24, 67]
[6, 8, 9, 16, 26, 77]
[3, 7, 9, 35, 23, 61]
[3, 9, 6, 25, 33, 126]
[3, 7, 9, 23, 33, 103]
[4, 10, 4, 38, 34, 82]
[5, 7, 5, 35, 25, 85]
[9, 9, 9, 33, 9, 33]
[6, 8, 9, 24, 26, 77]
[3, 9, 3, 21, 13, 81]
[5, 9, 5, 41, 25, 81]
[5, 9, 5, 25, 25, 81]
[4, 6, 10, 38, 34, 78]
[6, 10, 6, 38, 16, 82]
[8, 10, 8, 30, 8, 106]
[4, 10, 4, 42, 19, 58]
[3, 9, 9, 37, 23, 69]
[4, 6, 4, 14, 34, 66]
[5, 7, 5, 11, 35, 49]
[7, 7, 7, 35, 17, 97]
[4, 6, 4, 22, 4, 42]
[5, 7, 5, 19, 45, 61]
[10, 10, 10, 10, 25, 70]
[5, 7, 5, 23, 15, 67]
[4, 8, 7, 16, 24, 77]
[4, 8, 10, 8, 34, 80]
[2, 10, 5, 26, 22, 103]
[3, 7, 3, 39, 13, 43]
[3, 9, 9, 25, 23, 105]
[4, 10, 10, 38, 24, 70]
[3, 7, 3, 27, 13, 61]
[4, 6, 4, 38, 34, 102]
[6, 8, 6, 24, 6, 104]
[3, 9, 3, 29, 13, 57]
[0, 10, 6, 30, 40, 58]
[5, 9, 5, 37, 35, 81]
[8, 10, 8, 30, 28, 34]
[4, 6, 10, 46, 14, 66]
[7, 9, 10, 29, 7, 114]
[5, 7, 5, 23, 45, 67]
[3, 9, 3, 17, 13, 93]
[7, 7, 7, 43, 27, 61]
[1, 9, 10, 37, 21, 78]
[3, 9, 9, 21, 23, 117]
[7, 9, 7, 21, 47, 57]
[2, 8, 2, 24, 12, 68]
[3, 9, 9, 33, 23, 81]
[7, 7, 7, 39, 47, 19]
[2, 10, 8, 26, 7, 82]
[5, 7, 5, 19, 15, 61]
[3, 7, 9, 11, 23, 97]
[2, 10, 2, 18, 7, 70]
[2, 8, 2, 32, 32, 92]
[4, 8, 4, 24, 14, 68]
[4, 10, 10, 26, 29, 94]
[5, 5, 5, 29, 5, 77]
[4, 10, 10, 22, 34, 106]
[5, 9, 8, 45, 15, 78]
[2, 10, 8, 30, 22, 106]
[7, 9, 7, 29, 47, 33]
[4, 10, 10, 42, 19, 58]
[7, 7, 7, 27, 37, 61]
[1, 9, 7, 29, 11, 69]
[8, 10, 8, 22, 28, 94]
[2, 10, 8, 30, 12, 70]
[3, 7, 3, 19, 23, 97]
[5, 7, 5, 31, 25, 79]
[2, 8, 2, 24, 22, 104]
[5, 9, 8, 21, 25, 78]
[6, 10, 9, 34, 16, 79]
[7, 9, 7, 17, 37, 93]
[4, 6, 4, 14, 44, 78]
[5, 9, 8, 33, 5, 78]
[5, 9, 8, 9, 25, 78]
[5, 5, 5, 29, 35, 77]
[4, 6, 4, 22, 14, 54]
[1, 9, 10, 33, 11, 78]
[4, 10, 4, 38, 44, 94]
[6, 10, 9, 26, 36, 67]
[4, 10, 4, 34, 49, 106]
[4, 10, 4, 26, 19, 82]
[4, 10, 4, 22, 24, 94]
[3, 7, 3, 23, 33, 115]
[3, 7, 9, 39, 33, 79]
[3, 9, 3, 29, 33, 105]
[4, 10, 4, 42, 29, 70]
[6, 6, 6, 38, 26, 90]
[7, 9, 7, 37, 37, 33]
[4, 10, 10, 42, 29, 70]
[4, 10, 4, 30, 4, 58]
[6, 10, 6, 30, 46, 58]
[4, 6, 4, 46, 14, 90]
[6, 6, 6, 30, 36, 66]
[6, 8, 6, 40, 26, 80]
