[1, 13, 7, 21, 41, 97]
[1, 7, 4, 15, 41, 64]
[3, 15, 6, 15, 43, 96]
[7, 13, 7, 17, 47, 55]
[4, 10, 4, 18, 59, 64]
[5, 15, 5, 27, 55, 39]
[8, 12, 8, 12, 48, 72]
[3, 15, 6, 31, 53, 60]
[4, 10, 4, 26, 69, 76]
[4, 12, 4, 24, 59, 72]
[2, 12, 2, 16, 27, 48]
[4, 10, 4, 22, 34, 70]
[3, 9, 3, 29, 43, 81]
[6, 14, 6, 22, 46, 50]
[6, 10, 6, 18, 31, 112]
[3, 11, 3, 11, 53, 83]
[6, 8, 6, 16, 41, 80]
[2, 8, 2, 12, 52, 92]
[2, 8, 5, 16, 32, 29]
[2, 8, 8, 12, 52, 56]
[4, 8, 4, 20, 4, 68]
[3, 7, 3, 19, 63, 91]
[5, 9, 5, 21, 65, 45]
[5, 13, 5, 25, 35, 79]
[6, 12, 6, 16, 61, 48]
[7, 13, 7, 21, 47, 25]
[2, 12, 2, 24, 47, 72]
[5, 9, 5, 29, 85, 33]
[2, 14, 8, 22, 32, 62]
[1, 7, 4, 27, 51, 64]
[1, 7, 4, 23, 41, 40]
[2, 12, 8, 12, 22, 60]
[3, 15, 6, 23, 43, 72]
[3, 11, 3, 19, 73, 107]
[4, 10, 7, 22, 34, 67]
[2, 8, 5, 24, 32, 29]
[3, 5, 3, 25, 33, 95]
[6, 8, 6, 24, 41, 80]
[5, 7, 5, 23, 65, 55]
[3, 13, 3, 21, 63, 97]
[4, 8, 4, 28, 24, 92]
[5, 7, 8, 23, 65, 64]
[2, 16, 2, 20, 52, 52]
[7, 11, 7, 23, 47, 47]
[1, 7, 4, 11, 41, 76]
[0, 12, 3, 32, 70, 45]
[3, 11, 3, 23, 23, 47]
[3, 11, 6, 23, 63, 92]
[4, 12, 4, 16, 59, 72]
[7, 13, 7, 21, 27, 97]
[1, 11, 1, 19, 31, 35]
[2, 16, 5, 16, 42, 85]
[4, 14, 4, 14, 44, 86]
[4, 16, 4, 20, 44, 76]
[6, 12, 6, 24, 61, 24]
[5, 11, 8, 31, 25, 92]
[2, 12, 2, 32, 47, 48]
[1, 7, 7, 15, 51, 79]
[2, 14, 8, 14, 22, 74]
[4, 10, 7, 22, 64, 67]
[4, 12, 4, 32, 49, 72]
[5, 15, 8, 15, 45, 72]
[4, 14, 7, 22, 44, 71]
[2, 16, 8, 32, 47, 28]
[1, 11, 7, 11, 21, 83]
[2, 8, 2, 28, 32, 44]
[7, 13, 7, 29, 27, 37]
[1, 11, 4, 31, 51, 56]
[4, 14, 7, 14, 44, 83]
[7, 15, 7, 23, 17, 51]
[3, 15, 6, 31, 33, 36]
[2, 14, 2, 14, 22, 38]
[4, 6, 7, 22, 64, 87]
[1, 7, 4, 23, 51, 76]
[5, 9, 5, 25, 25, 99]
[3, 7, 3, 15, 53, 67]
[2, 10, 8, 26, 57, 88]
[5, 5, 5, 29, 65, 101]
[2, 12, 8, 24, 47, 84]
[0, 8, 0, 28, 50, 44]
[3, 9, 3, 25, 63, 99]
[5, 13, 5, 21, 25, 97]
[4, 8, 4, 24, 29, 80]
[1, 7, 7, 15, 41, 43]
[3, 7, 6, 15, 23, 16]
[8, 10, 8, 14, 58, 58]
[1, 7, 7, 27, 61, 79]
[1, 7, 7, 23, 51, 55]
[6, 14, 6, 14, 56, 62]
[4, 12, 4, 28, 14, 72]
[3, 7, 6, 23, 53, 76]
[3, 7, 6, 19, 43, 52]
[4, 16, 4, 16, 39, 88]
[5, 13, 5, 29, 55, 49]
[5, 7, 8, 27, 65, 76]
[5, 9, 5, 25, 55, 63]
[4, 8, 7, 24, 44, 77]
[1, 11, 7, 11, 11, 47]
[4, 10, 4, 30, 34, 82]
[3, 11, 3, 31, 53, 83]
[4, 14, 4, 30, 44, 62]
[6, 10, 6, 22, 36, 94]
[4, 16, 7, 24, 44, 61]
[1, 15, 4, 15, 41, 72]
[3, 11, 3, 19, 53, 83]
[1, 7, 7, 11, 51, 91]
[2, 14, 8, 26, 47, 80]
[5, 13, 5, 17, 55, 67]
[4, 8, 4, 20, 34, 68]
