[7, 13, 7, 17, 47, 55]
[2, 8, 11, 32, 62, 53]
[3, 13, 3, 33, 33, 43]
[4, 14, 10, 18, 49, 68]
[4, 10, 10, 18, 69, 52]
[4, 10, 13, 38, 14, 67]
[4, 12, 13, 24, 54, 45]
[2, 8, 2, 12, 52, 92]
[3, 5, 9, 29, 43, 77]
[6, 12, 6, 16, 61, 48]
[7, 13, 7, 21, 47, 25]
[4, 6, 13, 22, 24, 63]
[7, 7, 10, 39, 47, 16]
[1, 7, 4, 27, 51, 64]
[3, 15, 6, 23, 43, 72]
[2, 8, 5, 24, 32, 29]
[4, 8, 4, 28, 24, 92]
[1, 7, 4, 11, 41, 76]
[7, 11, 7, 35, 27, 47]
[3, 7, 3, 35, 33, 103]
[2, 10, 2, 34, 47, 64]
[1, 11, 1, 19, 31, 35]
[6, 10, 18, 18, 31, 64]
[4, 6, 13, 22, 54, 63]
[5, 11, 8, 31, 25, 92]
[2, 14, 14, 26, 37, 68]
[1, 17, 7, 29, 71, 29]
[2, 14, 8, 38, 52, 38]
[2, 8, 2, 28, 32, 44]
[4, 14, 16, 14, 54, 38]
[1, 11, 4, 31, 51, 56]
[5, 9, 11, 17, 55, 51]
[5, 13, 17, 25, 15, 31]
[2, 6, 11, 22, 62, 15]
[3, 13, 21, 13, 53, 25]
[5, 13, 17, 17, 35, 19]
[7, 7, 10, 27, 47, 52]
[5, 7, 8, 27, 65, 76]
[3, 9, 9, 21, 63, 69]
[4, 10, 4, 30, 34, 82]
[2, 10, 5, 38, 52, 67]
[6, 10, 6, 26, 41, 76]
[1, 15, 7, 39, 71, 15]
[5, 5, 5, 21, 65, 65]
[3, 7, 3, 15, 63, 79]
[4, 12, 10, 24, 39, 60]
[7, 11, 7, 15, 47, 95]
[4, 8, 10, 32, 39, 92]
[6, 10, 6, 30, 66, 10]
[3, 11, 9, 43, 33, 47]
[7, 11, 10, 23, 47, 20]
[0, 16, 9, 24, 60, 61]
[3, 11, 9, 23, 43, 59]
[2, 12, 5, 16, 52, 117]
[4, 8, 13, 24, 34, 53]
[2, 6, 8, 38, 52, 54]
[2, 12, 14, 36, 52, 48]
[4, 8, 4, 16, 9, 56]
[5, 11, 8, 27, 55, 56]
[4, 14, 10, 30, 24, 50]
[5, 15, 11, 23, 35, 39]
[2, 10, 2, 30, 22, 10]
[3, 9, 3, 37, 43, 93]
[1, 13, 13, 29, 41, 85]
[6, 12, 18, 16, 21, 48]
[0, 8, 6, 12, 20, 80]
[5, 7, 17, 23, 35, 91]
[4, 8, 10, 24, 9, 68]
[4, 10, 10, 14, 34, 46]
[2, 12, 14, 24, 47, 72]
[3, 9, 9, 33, 43, 63]
[3, 15, 9, 15, 33, 87]
[5, 11, 14, 23, 45, 44]
[4, 4, 22, 28, 54, 52]
[5, 11, 11, 15, 35, 71]
[5, 7, 5, 15, 55, 43]
[3, 7, 9, 39, 33, 79]
[4, 10, 10, 30, 24, 70]
[7, 9, 7, 37, 37, 33]
[4, 10, 7, 30, 24, 79]
[6, 10, 9, 14, 36, 103]
[7, 7, 7, 35, 37, 55]
[4, 12, 10, 12, 44, 60]
